"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_001105577",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001105578",14,19,35,11,9,4,13,12,8,13,19,12
"NM_001105579",1,0,3,0,1,1,0,0,1,0,0,0
"NM_001105580",0,0,0,0,0,1,0,0,0,0,0,2
"NM_001105669",41,42,47,15,33,9,33,10,4,12,10,7
"NM_001106",190,131,598,200,158,57,393,228,268,209,167,327
"NM_001109",1666,2858,3260,1073,2496,570,884,1152,414,1995,2387,1098
"NM_001109619",0,1,0,0,1,0,0,0,0,1,0,1
"NM_001109662",4128,1885,7268,3231,2201,1552,3732,1165,1850,4296,1636,3006
"NM_001109754",1,3,4,1,0,1,0,2,2,2,3,2
"NM_001109763",2,2,9,2,0,5,0,0,5,0,0,1
"NM_001109809",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001109891",166,371,667,147,378,106,199,299,114,214,382,204
"NM_001109903",221,173,295,82,147,64,217,108,82,283,159,130
"NM_001109997",2,4,14,18,13,3,1,1,4,5,10,7
"NM_001110",1677,1101,4673,2771,1831,363,2440,960,1068,2763,1718,2059
"NM_001110213",3,6,2,0,3,0,8,3,0,9,3,4
"NM_001110221",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001110303",304,516,767,257,537,165,288,286,183,424,435,369
"NM_001110357",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001110822",0,0,6,4,2,0,0,1,0,3,2,1
"NM_001111018",198,68,224,68,45,25,47,21,15,165,52,70
"NM_001111032",1,2,10,0,0,0,0,0,1,1,3,2
"NM_001111036",118,342,418,174,609,62,154,254,89,233,573,321
"NM_001111039",130,128,349,133,155,35,137,79,69,166,159,157
"NM_001111047",1,2,2,0,0,0,0,0,0,0,1,2
"NM_001111067",9,7,1,6,2,1,10,4,0,12,9,5
